pageid,bin_death_index,ma,diff_percent
233249,108,4580,7.94
233249,109,4371,7.53
233249,110,4225,7.24
233249,111,2298,3.48
233249,112,1353,1.64
233249,113,1629,2.18
233249,114,1636,2.19
233249,115,1614,2.15
233249,116,1596,2.11
233249,117,1544,2.01
233249,118,1488,1.90
233249,119,1428,1.79
233249,120,972,0.90
166514,30,5301,2.98
166514,31,5205,2.91
166514,32,8902,5.69
166514,33,10177,6.65
166514,34,10396,6.81
166514,35,10483,6.88
166514,36,10581,6.95
166514,37,10688,7.03
166514,38,10621,6.98
166514,39,6626,3.98
166514,40,4985,2.75
166514,41,4379,2.29
166514,42,4038,2.03
166514,43,3762,1.83
166514,44,3460,1.60
166514,45,3353,1.52
166514,46,3288,1.47
166514,47,3460,1.60
166514,48,3722,1.80
166514,49,3790,1.85
166514,50,3832,1.88
166514,51,3859,1.90
166514,52,3785,1.84
166514,53,4384,2.29
166514,54,4416,2.32
166514,55,4165,2.13
166514,56,4060,2.05
166514,57,3958,1.97
166514,58,3890,1.92
166514,59,3786,1.84
166514,60,3019,1.27
166514,61,2614,0.96
166514,62,2505,0.88
166514,63,2428,0.82
166514,64,2409,0.81
166514,65,2438,0.83
166514,66,2445,0.84
166514,67,2452,0.84
166514,68,2467,0.85
166514,69,2523,0.90
166514,70,2611,0.96
166514,71,2620,0.97
166514,72,2563,0.93
166514,73,2503,0.88
166514,74,2508,0.88
166514,75,2541,0.91
166514,76,2441,0.83
166514,77,2324,0.75
166514,78,2262,0.70
166514,79,2207,0.66
166514,80,2186,0.64
166514,81,2201,0.65
166514,82,2191,0.65
166514,83,2219,0.67
166514,84,2228,0.67
166514,85,2211,0.66
166514,86,2237,0.68
166514,87,2274,0.71
166514,88,2237,0.68
166514,89,2165,0.63
166514,90,2128,0.60
166514,91,2106,0.58
166514,92,2084,0.57
166514,93,2135,0.60
166514,94,2112,0.59
166514,95,2197,0.65
166514,96,2336,0.76
166514,97,2393,0.80
166514,98,2381,0.79
166514,99,2382,0.79
166514,100,2263,0.70
166514,101,2207,0.66
166514,102,2014,0.51
166514,103,1831,0.38
166514,104,1712,0.29
166514,105,1653,0.24
166514,106,1616,0.21
166514,107,1555,0.17
166514,108,1500,0.13
166514,109,1482,0.11
166514,110,1442,0.08
166514,111,1421,0.07
166514,112,1454,0.09
166514,113,1460,0.10
166514,114,1481,0.11
166514,115,1547,0.16
166514,116,1577,0.18
166514,117,1611,0.21
166514,118,1691,0.27
166514,119,1733,0.30
166514,120,1764,0.33
21181,30,3399,0.00
21181,31,3283,-0.03
21181,32,3147,-0.07
21181,33,3180,-0.06
21181,34,3093,-0.09
21181,35,3218,-0.05
21181,36,3230,-0.05
21181,37,3208,-0.05
21181,38,3176,-0.06
21181,39,3082,-0.09
21181,40,2964,-0.13
21181,41,2938,-0.13
21181,42,2724,-0.20
21181,43,2647,-0.22
21181,44,2628,-0.23
21181,45,2551,-0.25
21181,46,2611,-0.23
21181,47,2641,-0.22
21181,48,2585,-0.24
21181,49,2577,-0.24
21181,50,2579,-0.24
21181,51,2522,-0.26
21181,52,2492,-0.27
21181,53,2492,-0.27
21181,54,2611,-0.23
21181,55,2713,-0.20
21181,56,2767,-0.18
21181,57,2809,-0.17
21181,58,2825,-0.17
21181,59,2904,-0.14
21181,60,2893,-0.15
21181,61,2720,-0.20
21181,62,2613,-0.23
21181,63,2650,-0.22
21181,64,2616,-0.23
21181,65,2600,-0.23
21181,66,2505,-0.26
21181,67,2435,-0.28
21181,68,2396,-0.29
21181,69,2358,-0.31
21181,70,2252,-0.34
21181,71,2301,-0.32
21181,72,2295,-0.32
21181,73,2269,-0.33
21181,74,2258,-0.33
21181,75,2239,-0.34
21181,76,2244,-0.34
21181,77,2262,-0.33
21181,78,2209,-0.35
21181,79,2215,-0.35
21181,80,2201,-0.35
21181,81,2201,-0.35
